state,elasticity
Alabama,0.89
Alaska,1.16
Arizona,1.05
Arkansas,1.0
California,0.94
Colorado,1.07
Connecticut,0.99
Delaware,0.93
District of Columbia,0.8
Florida,1.03
Georgia,0.9
Hawaii,1.07
Idaho,1.12
Illinois,1.01
Indiana,0.99
Iowa,1.08
Kansas,1.0
Kentucky,0.94
Louisiana,0.96
Maine,1.13
Maryland,0.96
Massachusetts,1.15
Michigan,1.07
Minnesota,1.03
Mississippi,0.92
Missouri,0.95
Montana,1.07
Nebraska,1.01
Nevada,1.08
New Hampshire,1.15
New Jersey,1.01
New Mexico,1.02
New York,0.97
North Carolina,0.98
North Dakota,0.98
Ohio,1.02
Oklahoma,0.94
Oregon,1.0
Pennsylvania,1.0
Rhode Island,1.15
South Carolina,0.97
South Dakota,1.01
Tennessee,0.98
Texas,1.03
Utah,1.06
Vermont,1.12
Virginia,0.94
Washington,1.0
West Virginia,1.04
Wisconsin,1.07
Wyoming,1.08
